Unnamed: 0,temperature,humidity,wind speed,precipitation (%),cloud cover,atmospheric pressure,uv index,season,visibility (km),location,weather type
3181,26.0,62,7.5,75.0,overcast,1002.12,2,Summer,5.0,inland,1
4068,18.0,54,4.5,41.0,overcast,1018.57,1,Autumn,5.0,mountain,0
952,31.0,97,20.0,54.0,overcast,1003.01,1,Spring,4.5,mountain,1
6583,17.0,77,7.0,59.0,overcast,997.83,2,Summer,1.5,coastal,1
3556,12.0,69,8.0,34.0,partly cloudy,1010.99,4,Autumn,7.0,inland,0
7483,13.0,59,14.0,39.0,partly cloudy,1000.53,1,Autumn,8.5,inland,0
6325,42.0,56,7.5,10.0,partly cloudy,1024.89,8,Summer,5.5,mountain,2
6773,21.0,65,10.0,32.0,partly cloudy,1010.16,2,Summer,7.0,inland,0
5099,-7.0,97,11.5,91.0,overcast,995.81,1,Winter,2.0,inland,3
8309,-10.0,87,15.5,63.0,partly cloudy,985.52,1,Winter,2.5,mountain,3
7046,27.0,68,9.5,45.0,partly cloudy,1000.05,4,Autumn,6.5,coastal,0
11729,12.0,88,8.0,82.0,overcast,996.5,0,Spring,3.5,coastal,1
2814,-9.0,72,7.5,81.0,overcast,996.77,1,Winter,3.0,inland,3
9565,41.0,50,5.0,0.0,clear,1027.11,9,Autumn,8.0,mountain,2
10401,30.0,22,6.0,10.0,clear,1020.21,10,Autumn,5.0,coastal,2
7137,20.0,70,9.5,56.0,partly cloudy,1004.39,1,Winter,4.0,coastal,1
8155,26.0,46,3.0,5.0,clear,1027.59,7,Autumn,7.5,coastal,2
10003,27.0,77,11.5,45.0,partly cloudy,1000.92,2,Spring,8.0,inland,0
3464,30.0,71,9.5,45.0,partly cloudy,1003.98,4,Winter,5.0,mountain,0
8893,16.0,72,15.5,68.0,overcast,990.66,3,Spring,3.0,inland,1
10101,47.0,29,10.0,50.0,overcast,1021.27,3,Autumn,9.0,coastal,1
10420,29.0,55,0.5,13.0,overcast,1019.93,1,Winter,7.5,inland,0
5390,34.0,52,7.0,13.0,overcast,1009.3,1,Summer,8.0,coastal,0
12720,40.0,62,5.0,11.0,clear,1020.6,8,Spring,9.5,coastal,2
6740,32.0,56,12.5,28.0,partly cloudy,1002.97,1,Summer,7.5,coastal,0
826,21.0,50,5.0,47.0,partly cloudy,1010.87,3,Winter,9.0,inland,0
6920,22.0,57,7.5,11.0,overcast,1004.21,4,Winter,8.0,mountain,0
7749,30.0,58,2.0,18.0,clear,1029.24,5,Spring,9.5,coastal,2
12021,-2.0,73,8.0,96.0,overcast,991.39,0,Winter,2.0,mountain,3
9333,31.0,33,8.0,14.0,clear,1013.31,10,Spring,5.5,inland,2
12660,2.0,89,16.5,76.0,overcast,991.63,0,Winter,1.0,inland,3
3828,21.0,63,9.0,26.0,overcast,1000.92,4,Spring,9.0,mountain,0
841,-10.0,69,8.0,97.0,overcast,993.0,0,Winter,4.5,mountain,3
4118,42.0,38,0.5,18.0,clear,1024.63,10,Summer,6.5,coastal,2
11033,24.0,60,11.5,63.0,overcast,1014.26,3,Autumn,2.5,inland,1
4177,36.0,51,8.5,18.0,clear,1021.45,9,Summer,9.5,mountain,2
9447,15.0,84,19.0,70.0,overcast,1016.44,3,Summer,3.5,mountain,1
2440,35.0,29,9.5,9.0,clear,1022.77,5,Winter,7.0,inland,2
2291,31.0,50,11.0,29.0,overcast,1007.61,2,Spring,8.0,mountain,0
11367,-8.0,92,4.0,91.0,overcast,994.77,1,Winter,2.5,inland,3
11273,32.0,24,7.0,18.0,partly cloudy,1015.7,6,Summer,5.5,inland,2
5188,-2.0,71,12.0,97.0,partly cloudy,990.29,1,Winter,3.0,inland,3
7696,32.0,88,5.5,97.0,overcast,1005.66,1,Spring,2.0,mountain,1
3731,2.0,71,1.0,52.0,partly cloudy,996.33,0,Winter,2.5,mountain,3
7332,32.0,85,6.0,83.0,partly cloudy,996.38,0,Autumn,3.5,mountain,1
3630,-1.0,96,18.5,99.0,overcast,986.56,1,Winter,3.5,inland,3
9916,-8.0,61,18.5,79.0,overcast,987.44,0,Winter,1.5,mountain,3
6990,29.0,66,0.5,2.0,clear,1011.57,7,Winter,10.0,inland,2
9302,10.0,60,0.0,18.0,overcast,1001.58,3,Autumn,7.5,inland,0
6481,25.0,57,1.0,22.0,partly cloudy,1013.14,4,Winter,6.0,inland,0
9671,26.0,67,9.0,90.0,partly cloudy,1010.85,3,Winter,4.0,inland,1
514,31.0,71,11.5,51.0,overcast,999.2,2,Winter,4.0,coastal,1
761,29.0,71,7.5,22.0,partly cloudy,1002.82,1,Autumn,8.0,inland,0
8629,25.0,69,7.0,91.0,partly cloudy,1007.14,0,Spring,2.5,inland,1
7093,34.0,77,14.0,77.0,overcast,992.52,1,Autumn,4.0,coastal,1
1789,26.0,64,8.0,4.0,clear,1020.86,9,Summer,9.5,inland,2
12284,-1.0,84,6.5,92.0,overcast,993.65,0,Winter,1.0,inland,3
10237,34.0,63,8.0,11.0,overcast,1002.09,2,Summer,8.5,inland,0
6745,-7.0,99,1.0,51.0,overcast,991.85,0,Winter,3.0,mountain,3
3396,34.0,73,6.5,92.0,overcast,991.93,1,Summer,5.0,inland,1
5850,1.0,89,7.5,72.0,overcast,996.54,0,Winter,2.5,mountain,3
1774,37.0,47,1.0,2.0,clear,1012.77,7,Summer,6.5,mountain,2
9699,23.0,74,13.0,34.0,overcast,1011.92,3,Spring,7.0,mountain,0
750,-10.0,96,13.0,97.0,overcast,998.31,1,Winter,1.0,inland,3
1593,37.0,66,6.0,11.0,clear,1029.68,9,Autumn,10.0,inland,2
5461,13.0,55,6.5,30.0,partly cloudy,1014.21,3,Winter,9.0,inland,0
8709,39.0,68,0.5,16.0,clear,1017.2,8,Spring,9.0,mountain,2
8976,26.0,96,7.0,75.0,partly cloudy,999.4,3,Autumn,2.5,inland,1
