iter	Passed	Remaining
0	499	499036
1	546	272869
2	572	190117
3	586	145999
4	631	125746
5	652	108148
6	666	94555
7	683	84758
8	692	76293
9	718	71082
10	738	66393
11	754	62123
12	770	58483
13	780	54963
14	790	51898
15	803	49422
16	815	47131
17	824	44987
18	836	43204
19	847	41551
20	857	39996
21	872	38797
22	890	37846
23	902	36693
24	913	35618
25	926	34722
26	951	34289
27	967	33584
28	980	32833
29	991	32044
30	1001	31291
31	1014	30677
32	1025	30040
33	1034	29388
34	1047	28871
35	1058	28347
36	1068	27807
37	1080	27349
38	1094	26963
39	1110	26640
40	1141	26694
41	1150	26236
42	1163	25899
43	1176	25566
44	1187	25197
45	1197	24832
46	1209	24514
47	1219	24193
48	1228	23845
49	1241	23581
50	1251	23284
51	1261	22999
52	1274	22766
53	1285	22522
54	1299	22321
55	1311	22114
56	1323	21899
57	1334	21669
58	1343	21424
59	1356	21249
60	1366	21038
61	1375	20808
62	1386	20628
63	1396	20417
64	1405	20221
65	1419	20087
66	1431	19932
67	1440	19739
68	1451	19589
69	1462	19436
70	1473	19281
71	1486	19155
72	1496	19003
73	1508	18879
74	1523	18789
75	1534	18659
76	1546	18538
77	1556	18395
78	1569	18294
79	1580	18172
80	1589	18038
81	1599	17911
82	1611	17806
83	1620	17667
84	1631	17563
85	1642	17458
86	1651	17333
87	1663	17240
88	1674	17142
89	1683	17024
90	1695	16935
91	1706	16840
92	1716	16744
93	1730	16681
94	1744	16614
95	1754	16525
96	1764	16426
97	1776	16347
98	1785	16245
99	1795	16159
100	1806	16077
101	1814	15977
102	1826	15906
103	1837	15827
104	1845	15733
105	1856	15657
106	1865	15568
107	1877	15506
108	1889	15442
109	1897	15350
110	1908	15285
111	1923	15250
112	1936	15198
113	1948	15142
114	1959	15075
115	1971	15020
116	1979	14939
117	1991	14888
118	2002	14826
119	2011	14752
120	2022	14695
121	2033	14633
122	2042	14564
123	2054	14512
124	2065	14458
125	2074	14389
126	2086	14341
127	2095	14277
128	2106	14221
129	2117	14172
130	2130	14133
131	2147	14122
132	2156	14056
133	2168	14012
134	2179	13962
135	2188	13901
136	2199	13856
137	2208	13794
138	2218	13744
139	2229	13697
140	2238	13638
141	2249	13591
142	2258	13537
143	2268	13482
144	2278	13436
145	2286	13377
146	2299	13342
147	2310	13298
148	2318	13243
149	2331	13212
150	2346	13193
151	2358	13157
152	2369	13116
153	2380	13077
154	2393	13049
155	2403	13002
156	2415	12968
157	2425	12925
158	2434	12874
159	2445	12839
160	2455	12794
161	2464	12748
162	2474	12704
163	2483	12659
164	2495	12626
165	2505	12588
166	2517	12557
167	2531	12535
168	2544	12513
169	2558	12489
170	2568	12451
171	2578	12410
172	2588	12374
173	2596	12328
174	2608	12297
175	2619	12261
176	2628	12221
177	2638	12183
178	2646	12139
179	2657	12107
180	2667	12070
181	2676	12029
182	2686	11991
183	2694	11951
184	2705	11916
185	2713	11876
186	2724	11845
187	2735	11813
188	2747	11787
189	2759	11763
190	2771	11739
191	2782	11710
192	2791	11674
193	2802	11642
194	2810	11602
195	2822	11576
196	2832	11544
197	2842	11514
198	2853	11486
199	2864	11456
200	2873	11421
201	2884	11396
202	2893	11359
203	2903	11330
204	2914	11302
205	2923	11267
206	2933	11238
207	2943	11209
208	2953	11177
209	2966	11161
210	2980	11143
211	2990	11115
212	3003	11098
213	3014	11073
214	3024	11041
215	3035	11017
216	3046	10992
217	3055	10959
218	3065	10933
219	3076	10906
220	3084	10873
221	3095	10848
222	3104	10815
223	3114	10789
224	3124	10760
225	3132	10729
226	3142	10701
227	3153	10678
228	3166	10661
229	3180	10649
230	3193	10630
231	3203	10603
232	3214	10579
233	3223	10552
234	3232	10522
235	3243	10500
236	3253	10474
237	3264	10450
238	3274	10427
239	3283	10397
240	3294	10375
241	3304	10350
242	3313	10321
243	3323	10298
244	3331	10267
245	3343	10247
246	3353	10223
247	3364	10202
248	3376	10184
249	3389	10168
250	3401	10149
251	3411	10127
252	3424	10109
253	3434	10088
254	3444	10062
255	3455	10041
256	3464	10016
257	3474	9992
258	3483	9967
259	3492	9941
260	3503	9919
261	3513	9896
262	3523	9874
263	3534	9853
264	3543	9827
265	3555	9811
266	3566	9791
267	3575	9766
268	3591	9759
269	3609	9758
270	3622	9743
271	3632	9722
272	3641	9696
273	3652	9677
274	3663	9658
275	3672	9634
276	3683	9613
277	3691	9587
278	3702	9567
279	3711	9544
280	3720	9520
281	3730	9499
282	3739	9474
283	3750	9456
284	3761	9435
285	3771	9415
286	3784	9403
287	3797	9388
288	3808	9370
289	3820	9353
290	3831	9335
291	3842	9317
292	3851	9293
293	3862	9274
294	3871	9252
295	3882	9233
296	3891	9211
297	3900	9188
298	3910	9168
299	3919	9144
300	3930	9127
301	3940	9107
302	3949	9084
303	3960	9066
304	3969	9045
305	3982	9031
306	3993	9014
307	4004	8997
308	4015	8979
309	4027	8965
310	4041	8952
311	4049	8929
312	4060	8912
313	4071	8894
314	4081	8875
315	4091	8857
316	4100	8835
317	4110	8816
318	4120	8796
319	4128	8773
320	4139	8756
321	4148	8735
322	4159	8718
323	4169	8700
324	4180	8681
325	4190	8664
326	4201	8648
327	4213	8632
328	4226	8620
329	4239	8606
330	4249	8588
331	4258	8567
332	4268	8549
333	4278	8530
334	4289	8514
335	4299	8496
336	4308	8476
337	4319	8460
338	4328	8440
339	4338	8422
340	4350	8407
341	4359	8388
