,temperature,humidity,wind speed,precipitation (%),cloud cover,atmospheric pressure,uv index,season,visibility (km),location,weather type
0,14.0,73,9.5,82.0,partly cloudy,1010.82,2,Winter,3.5,inland,1
1,39.0,96,8.5,71.0,partly cloudy,1011.43,7,Spring,10.0,inland,0
2,30.0,64,7.0,16.0,clear,1018.72,5,Spring,5.5,mountain,2
3,38.0,83,1.5,82.0,clear,1026.25,7,Spring,1.0,coastal,2
4,27.0,74,17.0,66.0,overcast,990.67,1,Winter,2.5,mountain,1
5,32.0,55,3.5,26.0,overcast,1010.03,2,Summer,5.0,inland,0
6,-2.0,97,8.0,86.0,overcast,990.87,1,Winter,4.0,inland,3
7,3.0,85,6.0,96.0,partly cloudy,984.46,1,Winter,3.5,inland,3
8,3.0,83,6.0,66.0,overcast,999.44,0,Winter,1.0,mountain,3
12,12.0,59,10.5,25.0,partly cloudy,1016.08,3,Autumn,5.5,mountain,0
13,-10.0,87,15.0,67.0,overcast,986.19,0,Winter,1.5,inland,3
14,24.0,21,3.5,8.0,clear,1018.88,8,Winter,5.5,coastal,2
15,10.0,50,6.5,46.0,partly cloudy,1000.44,2,Summer,8.5,mountain,0
16,30.0,27,7.0,13.0,partly cloudy,1016.38,5,Spring,7.5,inland,2
17,33.0,51,0.5,27.0,overcast,1009.18,3,Autumn,5.5,coastal,0
18,43.0,46,0.5,15.0,clear,1025.8,9,Spring,6.0,mountain,2
20,-10.0,67,8.5,75.0,overcast,991.53,1,Winter,3.0,mountain,3
21,-7.0,88,12.5,98.0,overcast,980.31,1,Winter,3.0,inland,3
22,33.0,36,7.5,18.0,clear,1014.29,8,Summer,9.5,mountain,2
23,26.0,73,13.5,29.0,overcast,1012.02,1,Summer,9.0,inland,0
25,4.0,79,1.0,85.0,partly cloudy,982.53,1,Winter,4.5,inland,3
26,17.0,72,7.5,62.0,overcast,1010.16,2,Summer,3.0,mountain,1
28,24.0,61,6.5,3.0,partly cloudy,1018.15,7,Autumn,5.5,mountain,2
29,30.0,70,16.0,54.0,partly cloudy,1007.75,0,Winter,3.0,mountain,1
30,28.0,85,7.0,97.0,overcast,991.07,1,Spring,2.0,coastal,1
31,2.0,61,16.5,63.0,overcast,995.74,0,Winter,1.0,inland,3
32,4.0,95,2.5,56.0,overcast,984.63,1,Winter,4.5,inland,3
34,29.0,69,3.0,15.0,clear,1012.09,10,Winter,5.5,inland,2
35,35.0,21,10.0,6.0,clear,1026.81,5,Autumn,7.5,coastal,2
39,27.0,64,11.5,37.0,partly cloudy,1017.27,3,Autumn,8.0,coastal,0
41,36.0,22,1.0,0.0,clear,1028.63,10,Summer,5.5,mountain,2
42,28.0,54,15.0,39.0,partly cloudy,1018.86,3,Winter,8.5,mountain,0
43,42.0,64,2.0,18.0,partly cloudy,1028.55,8,Autumn,8.0,mountain,2
45,22.0,50,0.0,18.0,clear,1016.5,5,Summer,8.0,coastal,2
46,33.0,66,9.0,18.0,partly cloudy,1014.34,3,Autumn,6.0,mountain,0
47,26.0,25,2.5,14.0,partly cloudy,1010.34,8,Winter,5.0,mountain,2
48,26.0,91,9.5,82.0,overcast,1019.42,3,Summer,4.0,mountain,1
49,-2.0,98,18.5,86.0,overcast,981.26,0,Winter,3.5,mountain,3
50,17.0,90,11.0,98.0,overcast,1017.49,3,Winter,4.0,inland,1
51,25.0,55,8.5,37.0,partly cloudy,1014.49,4,Summer,7.5,inland,0
52,-4.0,96,20.0,88.0,partly cloudy,990.72,1,Winter,4.5,mountain,3
53,-1.0,87,14.0,78.0,overcast,984.11,0,Winter,4.0,inland,3
54,-5.0,94,5.5,55.0,overcast,991.65,0,Winter,3.0,inland,3
55,22.0,95,13.0,90.0,overcast,997.97,3,Autumn,2.5,coastal,1
57,33.0,41,0.0,4.0,clear,1018.56,7,Winter,9.5,coastal,2
59,16.0,84,18.5,54.0,overcast,996.12,0,Spring,3.0,coastal,1
60,10.0,64,14.0,18.0,overcast,1011.96,1,Spring,8.5,coastal,0
61,29.0,63,6.0,68.0,overcast,992.45,0,Winter,3.0,mountain,1
62,15.0,55,1.5,32.0,partly cloudy,1009.01,2,Autumn,5.5,inland,0
64,24.0,52,9.0,29.0,partly cloudy,1007.84,1,Autumn,8.0,mountain,0
65,25.0,85,9.0,67.0,overcast,995.4,1,Winter,2.0,mountain,1
67,24.0,47,8.0,17.0,clear,1025.22,5,Summer,6.0,mountain,2
68,2.0,97,2.0,89.0,partly cloudy,993.14,0,Winter,3.0,inland,3
69,21.0,54,3.0,17.0,clear,1026.15,7,Summer,8.0,mountain,2
70,2.0,81,13.5,57.0,overcast,983.36,1,Winter,4.0,inland,3
71,21.0,75,3.5,41.0,partly cloudy,1017.74,2,Winter,8.0,mountain,0
